ID,CLINIC_NAME,ADDRESS,CREATED_TIMESTAMP
1,Downtown Health,123 Health Ave,2023-10-01 09:00:00
2,Riverside Clinic,456 River Rd,2023-10-01 09:30:00
3,Wellness Center,789 Wellness Blvd,2023-10-01 10:00:00
4,City Medical Group,101 Main St,2023-10-01 10:30:00
5,Lakeside Family Clinic,202 Lakeview Dr,2023-10-01 11:00:00
6,Green Valley Clinic,303 Greenway Blvd,2023-10-01 11:30:00
7,Health Plus Clinic,404 Health St,2023-10-01 12:00:00
8,Eastside Medical Center,505 East St,2023-10-01 12:30:00
9,Northpoint Healthcare,606 North Ave,2023-10-01 13:00:00
10,Sunnydale Clinic,707 Sunny St,2023-10-01 13:30:00
11,Family Health Center,808 Family Ave,2023-10-01 14:00:00
12,Central City Clinic,909 Central Blvd,2023-10-01 14:30:00
13,New Horizons Clinic,1010 Horizon Dr,2023-10-01 15:00:00
14,Clearview Medical Center,1111 Clearview St,2023-10-01 15:30:00
15,Healthy Living Clinic,1212 Wellness Way,2023-10-01 16:00:00
16,Starlight Health,1313 Star Rd,2023-10-01 16:30:00
17,Silver Oak Clinic,1414 Silver St,2023-10-01 17:00:00
18,Pine Grove Medical Center,1515 Pine Rd,2023-10-01 17:30:00
19,Summit Healthcare,1616 Summit Ave,2023-10-01 18:00:00
20,Harmony Health Clinic,1717 Harmony St,2023-10-01 18:30:00
21,Lighthouse Clinic,1818 Lighthouse Dr,2023-10-01 19:00:00
22,Heritage Medical Group,1919 Heritage Way,2023-10-01 19:30:00
23,Valley View Clinic,2020 Valley View Rd,2023-10-01 20:00:00
24,Evergreen Health Center,2121 Evergreen St,2023-10-01 20:30:00
25,Springfield Medical Clinic,2222 Springfield Rd,2023-10-01 21:00:00
